"TI","AB","AU","PY","SO"
"Benefits and Risks of Prophylaxis for Deep Venous Thrombosis and Pulmonary Embolus in Plastic Surgery: A Systematic Review and Meta-Analysis of Controlled Trials and Consensus Conference","The goal of this consensus conference, sponsored by the American Association of Plastic Surgeons, was to perform a systematic review and meta-analysis of controlled trials to examine both the benefits and risks of venous thromboembolism prophylaxis in plastic surgery patients. The panel sought to assess the safety and effectiveness of recognized venous thromboembolism prophylaxis strategies, including variation in anesthetic management, use of elastic compression stockings or intermittent pneumatic compression, and use of chemoprophylaxis. The authors also sought to examine effectiveness and safety of prophylaxis in patients risk-stratified by procedure type or 2005 Caprini score. The panel met face to face in March of 2015 to perform an exhaustive review of the existing literature. The panel subsequently created consensus recommendations using the GRADE criteria. Important directions for future research were also identified. CLINICAL QUESTION/LEVEL OF EVIDENCE: Therapeutic, V.","Pannucci, CJ; MacDonald, JK; Ariyan, S; Gutowski, KA; Kerrigan, CL; Kim, JY; Chung, KC",2016,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"PLASTIC-SURGERY AND PSYCHOTHERAPY IN THE TREATMENT OF 100 PSYCHOLOGICALLY DISTURBED PATIENTS","This paper reviews the senior author's long-term experience with the surgical-psychiatric treatment of 100 aesthetic surgery patients with significant psychological disturbances. Patients with psychological disturbances of a magnitude generally considered an ""absolute contraindication"" for surgery were operated on and later assessed to determine the psychological impact of surgery. Patient follow-up averaged 6.2 years (maximum follow-up 25.7 years). Of the 87 patients who underwent operation (7 patients were refused surgery and 6 voluntarily deferred surgery), 82.8 percent had a positive psychological outcome, 13.8 percent experienced ""minimal"" improvement from surgery, and 3.4 percent were negatively affected by surgery. There were no lawsuits, suicides, or psychotic decompensations. Patients with severe psychological disturbances frequently benefited from combined surgical-psychiatric treatment designed to address the patient's profound sense of deformity. This study suggests that plastic surgeons are ""passing up"" a significant number of patients who may be helped by combined surgical-psychological intervention.","EDGERTON, MT; LANGMAN, MW; PRUZINSKY, T",1991,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"CONTRACTILE FIBROBLAST - ITS RELEVANCE IN PLASTIC SURGERY","","MONTANDON, D; GABBIANI, G; RYAN, GB; MAJNO, G",1973,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"SILICONES IN PLASTIC SURGERY - LABORATORY AND CLINICAL INVESTIGATIONS, A PRELIMINARY REPORT","","BROWN, JB; FRYER, MP; RANDALL, P; LU, M",1953,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"The American Society for Aesthetic Plastic Surgery's Cosmetic Surgery National Data Bank: Statistics 2018","","[Anonymous]",2019,"AESTHETIC SURGERY JOURNAL"
"Postoperative monitoring of free flaps in UK plastic surgery units","Monitoring free-tissue transfers in the postoperative period is valuable for detection of failing flaps. As well as conventional methods, a myriad of sophisticated techniques have been reported in the literature. Using a postal questionnaire, a survey was conducted to delineate current protocols employed in UK plastic surgery units. Data were received from 148 plastic surgeons in 51 units. All surgeons used clinical assessment, although there was significant disparity in the duration and frequency of postoperative monitoring. Adjuvant techniques such as laser Doppler flowmetry were routinely used by less than 20% of surgeons. We conclude that there is considerable variation in postoperative monitoring of free flaps, with significant clinical and resource implications. A protocol based on robust evidence is thus recommended. (c) 2005 Wiley-Liss, Inc.","Jallali, N; Ridha, H; Butler, PE",2005,"MICROSURGERY"
"Association Among Facial Paralysis, Depression, and Quality of Life in Facial Plastic Surgery Patients","IMPORTANCE Though anecdotally linked, few studies have investigated the impact of facial paralysis on depression and quality of life (QOL). OBJECTIVE To measure the association between depression, QOL, and facial paralysis in patients seeking treatment at a facial plastic surgery clinic. DESIGN, SETTING, PARTICIPANTS Data were prospectively collected for patients with all-cause facial paralysis and control patients initially presenting to a facial plastic surgery clinic from 2013 to 2015. The control group included a heterogeneous patient population presenting to facial plastic surgery clinic for evaluation. Patients who had prior facial reanimation surgery or missing demographic and psychometric data were excluded from analysis. MAIN OUTCOMES AND MEASURES Demographics, facial paralysis etiology, facial paralysis severity (graded on the House-Brackmann scale), Beck depression inventory, and QOL scores in both groups were examined. Potential confounders, including self-reported attractiveness and mood, were collected and analyzed. Self-reported scores were measured using a 0 to 100 visual analog scale. RESULTS There was a total of 263 patients (mean age, 48.8 years; 66.9% were female) were analyzed. There were 175 control patients and 88 patients with facial paralysis. Sex distributions were not significantly different between the facial paralysis and control groups. Patients with facial paralysis had significantly higher depression, lower self-reported attractiveness, lower mood, and lower QOL scores. Overall, 37 patients with facial paralysis (42.1%) screened positive for depression, with the greatest likelihood in patients with House-Brackmann grade 3 or greater (odds ratio, 10.8; 95% CI, 5.13-22.75) compared with 13 control patients (8.1%) (P <.001). In multivariate regression, facial paralysis and female sex were significantly associated with higher depression scores (constant, 2.08 [95% CI, 0.77-3.39]; facial paralysis effect, 5.98 [95% CI, 4.38-7.58]; female effect, 1.95 [95% CI, 0.65-3.25]). Facial paralysis was associated with lower QOL scores (constant, 81.62 [95% CI, 78.98-84.25]; facial paralysis effect, -16.06 [95% CI, -20.50 to -11.62]). CONCLUSIONS AND RELEVANCE For treatment-seeking patients, facial paralysis was significantly associated with increased depression and worse QOL scores. In addition, female sex was significantly associated with increased depression scores. Moreover, patients with a greater severity of facial paralysis were more likely to screen positive for depression. Clinicians initially evaluating patients should consider the psychological impact of facial paralysis to optimize care.","Nellis, JC; Ishii, M; Byrne, PJ; Boahene, KDO; Dey, JK; Ishii, LE",2017,"JAMA FACIAL PLASTIC SURGERY"
"Social Media and the Plastic Surgery Patient","Background: Many plastic surgeons use social media as a marketing tool to attract and retain patients, but information about how patients use social media and their preferred types of plastic surgery posts have been lacking. Methods: To investigate patients' preferred social media networks and the type of posts they wished to see, a cross-sectional study was conducted in a single aesthetic practice of two plastic surgeons by surveying 100 consecutive patients. Results: The age of the patients averaged 44.4 years (range, 17 to 78 years). Facebook had the greatest patient use and engagement, with YouTube second in use, and Instagram second in number of engaged users. Over half used Pinterest, but with little daily engagement. Only one-fourth used Snapchat, but the percentage of users who were highly engaged was second only to Facebook. The least popular network was Twitter, with the fewest patient users and least engagement. Social media played a minor role compared with the practice's Web site in both influencing patients to choose the practice and providing information on the day of the appointment. Patients most wanted to see posts on a plastic surgeon's social media platform related to practice information, before-and-after photographs, and contests. Articles about plastic surgery held the least interest. Among five types of Web site content, patients expressed most interest in before-and-after photographs. Conclusions: This study is the first to articulate the plastic surgery patient perspective regarding social media. The findings aim to help plastic surgeons maximize their influence on their target audience.","Sorice, SC; Li, AY; Gilstrap, J; Canales, FL; Furnas, HJ",2017,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Research Productivity and Gender Disparities: A Look at Academic Plastic Surgery","OBJECTIVES: The h-index has utility in examining the contributions of faculty members by quantifying both the amount and the quality of research output and as such is a metric in approximating academic productivity. The objectives of this study were (1) to evaluate the relationship between h-index and academic rank in plastic surgery and (2) to describe the current gender representation in academic plastic surgery to assess whether there are any gender disparities in academic productivity. DESIGN: The h-index was used to evaluate the research contributions of plastic surgeons from academic departments the United States. RESULTS: There were 426 (84%) men and 79 (16%) women in our sample. Those in higher academic ranks had higher h-index scores (p < 0.0005). There was a significant difference in overall mean h-index by gender, where the mean scores were 9.0 and 6.0 for men and women, respectively (p = 0.0005). When analyzed by academic rank, there was a significant difference in academic productivity between men and women in assistant and associate professor positions (6.4 vs 5.1, respectively; p = 0.04). CONCLUSIONS: The h-index is able to objectively and reliably quantify academic productivity in plastic surgery. We found that h-indices increased with higher academic rank, and men had overall higher scores than their female colleagues. Adoption of this metric as an adjunct to other objective and subjective measures by promotions committees may provide a more reliable measure of research relevance and academic productivity in academic plastic surgery. ((C) 2014 Association of Program Directors in Surgery. Published by Elsevier Inc. All rights reserved.)","Paik, AM; Mady, LJ; Villanueva, NL; Goljo, E; Svider, PF; Ciminello, F; Eloy, JA",2014,"JOURNAL OF SURGICAL EDUCATION"
"MEASURING OUTCOME IN LOW-PRIORITY PLASTIC-SURGERY PATIENTS USING QUALITY-OF-LIFE INDEXES","292 patients with a variety of ''low-priority'' conditions completed the Health Measurement Questionnaire self-report instrument (HMQ) on admission for surgery, and again 6 months post-operation. Comparison of the two questionnaires permitted the change in Quality of Life (QoL) to be measured. Overall, of the respondents, 73% gained benefit from surgery in terms of improvement in QoL. The largest gains were in the breast surgery group, but there were individual patients in all groups who gained substantial improvement in QoL. The results suggest that the HMQ is a useful method of measuring benefit in patients admitted for low priority plastic surgery procedures.","COLE, RP; SHAKESPEARE, V; SHAKESPEARE, P; HOBBY, JAE",1994,"BRITISH JOURNAL OF PLASTIC SURGERY"
"FREE-RADICALS - BASIC CONCEPTS CONCERNING THEIR CHEMISTRY, PATHOPHYSIOLOGY, AND RELEVANCE TO PLASTIC-SURGERY","","ANGEL, MF; RAMASASTRY, SS; SWARTZ, WM; BASFORD, RE; FUTRELL, JW",1987,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Antibiotic Prophylaxis for Preventing Surgical-Site Infection in Plastic Surgery: An Evidence-Based Consensus Conference Statement from the American Association of Plastic Surgeons","Background: There is a growing concern for microbial resistance as a result of overuse of antibiotics. Although guidelines have focused on the use of antibiotics for surgery in general, few have addressed plastic surgery specifically. The objective of this expert consensus conference was to evaluate the evidence for efficacy and safety of antibiotic prophylaxis in plastic surgical procedures. Methods: The authors searched for existing high-quality systematic reviews for antibiotic prophylaxis in the literature from the MEDLINE, Cochrane Library, and Embase databases. All synonyms for antibiotics were combined with terms for relevant plastic surgery procedures. The searches were not limited by language, and included all study designs. In addition, supplemental hand searches were performed of bibliographies of relevant articles, and extensive ""related articles."" Meta-analyses were performed and reviewed by experts selected by the American Association of Plastic Surgeons to reach consensus recommendations. Results: Database searches identified 4300 articles, from which 2042 full-text articles were identified for eligibility. De novo meta-analyses were performed for each plastic surgical category. In total, 67 studies met the inclusion criteria, including nine for breast surgery, 17 for head and neck surgery, 10 for orthognathic surgery, seven for rhinoplasty/septoplasty, 19 for hand surgery, five for skin surgery, and two for abdominoplasty. Conclusions: Systemic antibiotic prophylaxis is recommended for clean breast surgery and for contaminated surgery of the hand or the head and neck. It is not recommended to reduce infection in clean surgical cases of the hand, skin, head and neck, or abdominoplasty.","Ariyan, S; Martin, J; Lal, A; Cheng, D; Borah, GL; Chung, KC; Conly, J; Havlik, R; Lee, WPA; McGrath, MH; Pribaz, J; Young, VL",2015,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Resident Involvement and Plastic Surgery Outcomes: An Analysis of 10,356 Patients from the American College of Surgeons National Surgical Quality Improvement Program Database","Background: Intraoperative experience is an essential component of surgical training. The impact of resident involvement in plastic surgery has not previously been studied on a large scale. Methods: The authors retrospectively reviewed the American College of Surgeons National Surgical Quality Improvement Program database from 2006 to 2010 for all reconstructive plastic surgery cases. Resident involvement was tracked as an individual variable to compare outcomes. Results: A total of 10,356 cases were identified, with 43 percent noted as having resident involvement. The average total relative value units, a proxy for surgical complexity, and operative time were higher for procedures with residents present. When balanced by baseline characteristics using propensity score stratification into quintiles, no differences in graft, prosthesis, or flap failure or mortality were observed. Furthermore, there were no differences in overall complications or wound infection with resident involvement for a majority of the quintiles. Multivariable logistic regression analysis revealed that resident involvement was a significant predictor of overall morbidity, but not associated with increased odds of wound infection, graft, prosthesis or flap failure, or overall mortality. Conclusions: Residency has the dual mission of training future physicians and also providing critical support for academic medical centers. Using a large-scale, multicenter database, the authors were able to confirm that well-matched cohorts with-and without-resident presence had similar complication profiles. Moreover, even when residents were involved in comparably more complex cases with longer operative times, infection, graft and flap failure, and mortality remained similar. (Plast. Reconstr. Surg. 131: 763, 2013.)","Jordan, SW; Mioton, LM; Smetona, J; Aggarwal, A; Wang, E; Dumanian, GA; Kim, JYS",2013,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Plastic Surgery After Gastric Bypass Improves Long-Term Quality of Life","Excess skin after massive weight loss impairs patient's health-related quality of life (HRQoL). Therefore, body-contouring surgeries can be proposed. However, few data exist concerning the effect of body contouring after bariatric surgery on HRQoL, including control group with a long-term follow-up. In a prospective study, 98 consecutive patients who had body contouring after gastric bypass for obesity (BMI > 40) were included (group A). A matched control-group containing 102 patients who had only gastric bypass was selected (group B). HRQoL was measured by Moorehead-Ardelt questionnaire before (group A1) and after (A2) body contouring, and at different time points for group B until 8 years post-gastric bypass. To evaluate the effect of body contouring by two parallel methods, HRQoL was compared between groups A1 and A2, and between A2 and B. We found that body contouring procedures improved significantly patients' HRQoL, in comparison to those who had only gastric bypass. Of the patients who had body contouring (group A2), 57 % evaluated their HRQoL ""much better"" in comparison to only 22 % of patients before body contouring (group A1) or those who never had body contouring (group B) (p < 0.001). The improvement was significant in all sub-domains of HRQoL: self-esteem, social life, work ability, sexual activity and physical activity (p < 0.001), and remained stable over time. Our study confirms the important role of plastic surgery in treatment of patients after massive weight loss. We demonstrated that body contouring, despite important scars, significantly improves satisfaction and HRQoL of patients after gastric bypass. Therefore, the treatment of morbid obesity should not be deemed achieved unless plastic surgery has been considered.","Modarressi, A; Balague, N; Huber, O; Chilcott, M; Pittet-Cuenod, B",2013,"OBESITY SURGERY"
"ADIPOSE-TISSUE IN PLASTIC-SURGERY","","SMAHEL, J",1986,"ANNALS OF PLASTIC SURGERY"
"Virtual Reality and Augmented Reality in Plastic Surgery: A Review","Recently, virtual reality (VR) and augmented reality (AR) have received increasing attention, with the development of VR/AR devices such as head-mounted displays, haptic devices, and AR glasses. Medicine is considered to be one of the most effective applications of VR/AR. In this article, we describe a systematic literature review conducted to investigate the state-ofthe- art VR/AR technology relevant to plastic surgery. The 35 studies that were ultimately selected were categorized into 3 representative topics: VR/AR-based preoperative planning, navigation, and training. In addition, future trends of VR/AR technology associated with plastic surgery and related fields are discussed.","Kim, Y; Kim, H; Kim, YO",2017,"ARCHIVES OF PLASTIC SURGERY-APS"
"Assessment of Postoperative Venous Thromboembolism Risk in Plastic Surgery Patients Using the 2005 and 2010 Caprini Risk Score","Background: Venous thromboembolism is an important patient safety issue. The authors sought to compare the predictive capacity of the 2005 and 2010 Caprini Risk Assessment Models for perioperative venous thromboembolism risk. Methods: The authors performed a retrospective, observational, crossover study using an established surgical outcomes database. A total of 3334 adult plastic surgery patients were identified. Patients were risk-stratified using both the 2005 and 2010 Caprini Risk Assessment Models. Each patient served as his or her own control, resulting in precise matching for identified and unidentified confounders. The outcome of interest was 60-day, symptomatic venous thromboembolism. The predictive capacities of the 2005 and 2010 Caprini risk scores were compared. Results: Use of the 2010 Caprini Risk Assessment Model resulted in a systematic increase in the aggregate risk score. The median 2010 Caprini score was significantly higher than the median 2005 Caprini score (6 versus 5, p < 0.001). When compared with the 2010 model, the 2005 Caprini Risk Assessment Model was able to better separate the lowest and highest risk patients from one another. Patients classified as ""super-high"" risk (Caprini score >8) using the 2005 Caprini Risk Assessment Model were significantly more likely to have a 60-day venous thromboembolism event when compared with patients classified as super-high risk using the 2010 guidelines (5.85 percent versus 2.52 percent, p = 0.021). Conclusions: When compared with the 2010 Caprini Risk Assessment Model, the 2005 Caprini Risk Assessment Model provides superior risk stratification. The 2005 Caprini Risk Assessment Model is the more appropriate method to risk-stratify plastic surgery patients for perioperative venous thromboembolism risk. (Plast. Reconstr. Surg. 130: 343, 2012.)","Pannucci, CJ; Barta, RJ; Portschy, PR; Dreszer, G; Hoxworth, RE; Kalliainen, LK; Wilkins, EG",2012,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Telemedicine and plastic surgery: A review of its applications, limitations and legal pitfalls","Background: Telemedicine is a rapidly expanding technology involving the exchange of medical information to assist diagnosis and treatment at a distance. Within the field of plastic surgery, where visual examination contributes heavily to patient management decision-making, telemedicine has great potential. However, privacy and medico-legal issues must be considered when using electronic communication to assist our clinical practice. Methods: A comprehensive literature review of manuscripts published on telemedicine was performed. Articles were selected for relevance to plastic and reconstructive surgery and reviewed for applications, benefits and complications of telemedicine. In addition, the manuscripts were reviewed for conforming to current legal guidelines for the electronic transfer of patient information. Results: Twenty-nine articles met the inclusion criteria (11 trauma and burns, 4 hand, 5 wound-care, 5 maxillofacial, 1 digital replantation, 2 free-flap monitoring, and 1 technical application). Twenty-eight (96%) manuscripts reported a benefit of telemedicine (commonly including increased access to expertise and costs saved through reduction of unnecessary transfers). However only five (17%) reported a statistical benefit compared to a standard treatment cohort (face-to-face interactions). Fifteen (51%) reported on adverse effects, which included misdiagnosis, time consumption, training, technical and cost issues. Only four manuscripts (14%) discussed conforming to legal guidelines within their institution. Conclusions: Telemedicine can improve access to the specialty of plastic surgery by facilitating the provision of expertise at remote sites. Its application can be used in many situations and between a variety of healthcare professionals. However, there is little critical analysis on the benefits and risks of telemedicine. In addition, its legal implications need to be carefully considered if it is to be safely integrated into our daily practice. (C) 2011 British Association of Plastic, Reconstructive and Aesthetic Surgeons. Published by Elsevier Ltd. All rights reserved.","Gardiner, S; Hartzell, TL",2012,"JOURNAL OF PLASTIC RECONSTRUCTIVE AND AESTHETIC SURGERY"
"The role of prophylactic antibiotics in plastic surgery: Whom are we treating?","","Rohrich, RJ; Rios, JL",2003,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Indocyanine green applications in plastic surgery: A review of the literature","Introduction: Use of indocyanine green (ICG) near-infrared fluorescence as a dye to assess tissue vascularization is now well standardized. The aimof this literature review was to review and resume the most recent recommendations for ICG use in its plastic surgery applications. Methods: A systematic literature review was performed using Medline, EMBASE, and PubMed databases to obtain the latest recommendations for ICG in plastic surgery. Inclusion criteriawere all articles written in English language that evaluated pre-, intra-, or postoperative ICG applications in surgical procedures usually performed by plastic surgeons. Case reports, reviews, meta-analyses, and experimental studies on animals or cadavers were excluded after title and abstract screening. Results: Of the 1389 article titles retrieved, 41 full-text articles met the inclusion criteria. ICG applications in plastic surgery were ICG lymphangiography used in sentinel lymph node mapping for breast cancer and melanoma and in microsurgery for the staging and treatment of secondary chronic lymphedema. The latest updates of ICG angiography in assessing free flaps, pedicled flaps, or large skin paddles were also retrieved. Conclusions: Large prospective studies suggest that ICG lymphography could be used as a single tracer to reliably perform sentinel lymph node biopsy. In the case of cutaneous melanoma, ICG lymphography increases node detection sensitivity and accuracy in conjunction with lymphoscintigraphy. In chronic lymphedema, it is useful for pre-and postoperative staging and intraoperative anatomical location of lymphatic pathways when lymphovenous bypass is indicated. ICG angiography is used intraoperatively to assess free flap anastomosis and design skin paddles and postoperatively to monitor buried flaps. In pedicled perforator flaps or for large skin paddles, intraoperative ICG angiography is strongly correlated with postoperative outcomes. (C) 2017 British Association of Plastic, Reconstructive and Aesthetic Surgeons. Published by Elsevier Ltd. All rights reserved.","Burnier, P; Niddam, J; Bosc, R; Hersant, B; Meningaud, JP",2017,"JOURNAL OF PLASTIC RECONSTRUCTIVE AND AESTHETIC SURGERY"
"The Plastic Surgery Hypothesis","Recent work on genetic-programming-based approaches to automatic program patching have relied on the insight that the content of new code can often be assembled out of fragments of code that already exist in the code base. This insight has been dubbed the plastic surgery hypothesis; successful, well-known automatic repair tools such as GenProg rest on this hypothesis, but it has never been validated. We formalize and validate the plastic surgery hypothesis and empirically measure the extent to which raw material for changes actually already exists in projects. In this paper, we mount a large-scale study of several large Java projects, and examine a history of 15,723 commits to determine the extent to which these commits are graftable, i.e., can be reconstituted from existing code, and find an encouraging degree of graftability, surprisingly independent of commit size and type of commit. For example, we find that changes are 43% graftable from the exact version of the software being changed. With a view to investigating the difficulty of finding these grafts, we study the abundance of such grafts in three possible sources: the immediately previous version, prior history, and other projects. We also examine the contiguity or chunking of these grafts, and the degree to which grafts can be found in the same file. Our results are quite promising and suggest an optimistic future for automatic program patching methods that search for raw material in already extant code in the project being patched.","Barr, ET; Brun, Y; Devanbu, P; Harman, M; Sarro, F",2014,"22ND ACM SIGSOFT INTERNATIONAL SYMPOSIUM ON THE FOUNDATIONS OF SOFTWARE ENGINEERING (FSE 2014)"
"Levels of Evidence in Plastic Surgery Research over 20 Years","Background: Evidence-based medicine, particularly randomized controlled trials, influences many daily decisions within the medical specialties. The structure of questions asked during the history and selection of physical examination maneuvers, diagnostic tests, and treatment regimens are all guided by evidence-based medicine. Implementation of evidence-based medicine has been slower in surgical practice. The purpose of this study was to survey published plastic surgery literature to evaluate changes in the level of evidence from pre-evidence-based medicine popularization to the present time. Methods: Articles from Plastic and Reconstructive Surgery for the years 1983, 1993, and 2003 were ranked by a five-point level of evidence scale. The highest level of evidence value (1) was given to randomized clinical trials and the lowest value (5) was given to individual case reports; 989 articles were ranked. Results: The average level of evidence of an article published in 1983 was lower than that of one published in 2003 (4.42 versus 4.16, respectively), and the majority of research (86.9 percent in 2003) remained largely uncontrolled and descriptive in nature. However, there was a trend toward higher-quality research. The percentage of studies with control or placebo groups nearly doubled from 1983 to 2003 (from 7.21 percent to 13.7 percent), and the number of randomized clinical trials increased (zero versus seven). Conclusion: The plastic surgery literature has responded to the demand for more evidence-based medicine, but the rate of change has been slow and the field will likely never enjoy the high level of evidence of medical fields. (Plast. Reconstr. Surg. 121: 207e, 2008.)","Loiselle, F; Mahabir, RC; Harrop, AR",2008,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Adipocyte Transplantation and Stem Cells: Plastic Surgery Meets Regenerative Medicine","The technologies for adipose tissue harvesting, processing, and transplantation have substantially evolved in the past two decades. Clinically driven advancements have paralleled a significant improvement in the understanding of cellular, molecular, and immunobiological events surrounding cell and tissue transplantation. These new mechanistic insights could be of assistance to better understand the mechanisms underlying some of the observed clinical improvements. In addition to plastic and reconstructive surgical applications, adipose tissue has become central to an increasing number of translational efforts involving adipose tissue-derived progenitor cells. The growing interest in this area of research has resulted in the exploration of many novel research and clinical applications that utilize adipose tissue grafting and/or progenitor/stem cell-derived cell products obtained from this tissue source. Progenitor, endothelial, and mesenchymal stem cells derived from adipose tissue could therefore not only be central to plastic and reconstructive surgery applications, but also become the focus of an array of therapeutic solutions for many disease conditions, such as those affecting bone, cartilage, muscle, liver, kidney, cardiac, neural, and the pancreas, expanding the possible indications and translational potential of tissue, cell-based, and regenerative medicine strategies.","Tremolada, C; Palmieri, G; Ricordi, C",2010,"CELL TRANSPLANTATION"
"A Survey of Cosmetic Surgery Training in Plastic Surgery Programs in the United States","Background: Aesthetic surgery is evolving rapidly, both technologically and conceptually. It is critical for the specialty that aesthetic surgery training keep pace with this rapid evolution. To shed more light on this issue, a survey was sent to all program directors and senior plastic surgery residents to record their impressions of the quality of cosmetic surgery resident training. The authors report the results of this national cosmetic surgery training survey canvassing all 89 plastic surgery programs. Methods: A three-page survey delineating resident preparedness in aesthetic surgery was sent to senior plastic surgery residents and program directors in April of 2006 and collected through October of 2006. Results: Of 814 surveys, 292 responses were obtained from 64 percent of program directors and 33 percent of senior residents. Breast augmentation, breast reduction, and abdominoplasty were most frequently performed with the highest resident comfort levels. Rhinoplasty remained a particular area of trainee concern, but confidence levels were also low in face lifts, endoscopic procedures, and body contouring techniques. Experience with skin resurfacing, fillers, and botulinum toxin type A was another area of concern. Although 51 percent of residents felt prepared to integrate cosmetic surgery into their practices on graduation, 36 percent felt that further cosmetic training was desirable. Conclusions: The information collected revealed significant differences in opinions between program directors and senior residents. Senior residents felt deficient in facial cosmetic, minimally invasive, and recently developed body contouring techniques. On the basis of these results and the authors' experience in resident education, changes in cosmetic surgery training are suggested. (Plast. Reconstr. Surg. 122: 1570, 2008.)","Morrison, CM; Rotemberg, SC; Moreira-Gonzalez, A; Zins, JE",2008,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Perioperative versus postoperative celecoxib on patient outcomes after major plastic surgery procedures","BACKGROUND: Controversy continues to surround the use of cyclooxygenase (COX)-2 inhibitors in the perioperative period. We designed this randomized, double-blind, placebo-controlled study to examine the hypothesis that administration of celecoxib preoperatively or postoperatively and for 3 days after major plastic surgery would improve pain control and clinically important patient outcomes. Another objective of the study was to determine whether perioperative administration of celecoxib offered any advantages over postoperative administration alone. METHODS: One hundred and twenty healthy consenting patients undergoing major plastic surgery (e.g., breast augmentation, abdominoplasty procedures) using a standardized general anesthetic technique were randomized to one of three treatment groups: 1) control group (n = 40) received two placebos orally before and after surgery, as well as one placebo BID for 3 days after surgery; 2) postoperative group (n = 40) received two placebos before surgery and 2 celecoxib 200 mg po after surgery, followed by one celecoxib 200 mg po BID on postoperative day ","Sun, T; Sacan, O; White, PF; Coleman, J; Rohrich, RJ; Kenkel, JM",NA,"ANESTHESIA AND ANALGESIA"
"The evolution of the brow lift in aesthetic plastic surgery","For nearly 100 years, aesthetic improvement of the aging face has included surgical elevation of the brow. Early attempts to correct brow ptosis were largely unsuccessful. Recognizing the need to modify the frown muscles heralded the achievement of results previously unobtainable. Within the past decade, the minimal incision approach to brow lifting afforded with the endoscope radically changed surgical options in forehead rejuvenation. Further advances have added to these options and have provided a palette of alternatives in aesthetic correction of the upper one-third of the aging face.","Paul, MD",2001,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"From the operating room to the courtroom: A comprehensive characterization of litigation related to facial plastic surgery procedures","Objectives/Hypothesis Malpractice litigation has increased in recent decades, contributing to higher health-care costs. Characterization of complications leading to litigation is of special interest to practitioners of facial plastic surgery procedures because of the higher proportion of elective cases relative to other subspecialties. In this analysis, we comprehensively examine malpractice litigation in facial plastic surgery procedures and characterize factors important in determining legal responsibility, as this information may be of great interest and use to practitioners in several specialties. Study Design Retrospective analysis. Methods The Westlaw legal database was examined for court records pertaining to facial plastic surgery procedures. The term medical malpractice was searched in combination with numerous procedures obtained from the American Academy of Facial Plastic and Reconstructive Surgery website. Results Of the 88 cases included, 62.5% were decided in the physician's favor, 9.1% were resolved with an out-of-court settlement, and 28.4% ended in a jury awarding damages for malpractice. The mean settlement was $577,437 and mean jury award was $352,341. The most litigated procedures were blepharoplasties and rhinoplasties. Alleged lack of informed consent was noted in 38.6% of cases; other common complaints were excessive scarring/disfigurement, functional considerations, and postoperative pain. Conclusions This analysis characterized factors in determining legal responsibility in facial plastic surgery cases. Several factors were identified as potential targets for minimizing liability. Informed consent was the most reported entity in these malpractice suits. This finding emphasizes the importance of open communication between physicians and their patients regarding expectations as well as documentation of specific risks, benefits, and alternatives.","Svider, PF; Keeley, BR; Zumba, O; Mauro, AC; Setzen, M; Eloy, JA",2013,"LARYNGOSCOPE"
"National plastic surgery survey: Brow lifting techniques and complications","The purpose of this survey was to assess trends in brow lifting philosophy, techniques, and complications. This is the second of a three-part survey; the first part reported on complications with face lift techniques, and the final report will address practice management issues, including facility and ancillary procedures. Surveys were sent to 3800 members of the American Society of Plastic Surgeons, the response rate was 15 percent. This sun,ey represents data on 6951 brow lifts, of which approximately 50 percent were performed endoscopically and 50 percent with a coronal incision. Several conclusions about the practice of the respondents were reached: (1) Both brow lift techniques were considered to be effective. (2) Surgeons considered coronal brow lifting to be more. effective for the three basic goals of brow lifting: brow elevation, reduction of transverse lines, and reduction of glabellar lines. (3) Reported complication rates for both techniques were low, and the most frequent complication was alopecia (varying from 2.9 percent to 4 percent). (4) Patient satisfaction varied from 98.2 percent to 99.2 percent. (5) Major complications were rarely reported.","Elkwood, A; Matarasso, A; Rankin, M; Elkowitz, M; Godek, CP",2001,"PLASTIC AND RECONSTRUCTIVE SURGERY"
"Integration of plastic surgery in the course of breast-conserving surgery for cancer to improve cosmetic results and radicality of tumor excision","","Petit, JY; Rietjens, M; Garusi, C; Greuze, M; Perry, C",1998,"ADJUVANT THERAPY OF PRIMARY BREAST CANCER VI"
"PSYCHODYNAMIC AND ESTHETIC MOTIVATIONS FOR PLASTIC SURGERY","","HILL, G; SILVER, AG",1950,"PSYCHOSOMATIC MEDICINE"
